oaci;nombre;departamento;pista_1;pista_2;tora_1;tora_2;toda_1;toda_2;asda_1;asda_2;lda_1;lda_2;elevacion;ancho;temperatura
SKHG;HACIENDA GARCIA;TOLIMA;3;21;550;550;550;550;550;550;550;550;1155;10;25
SKHC;HATO COROZAL;CASANARE;7;25;1040;1040;1040;1040;1040;1040;1040;1040;830;14;26
SKIB;IBAGUE;TOLIMA;14;32;1800;1800;1800;1800;1800;1800;1800;1800;3041;30;30
SKIP;IPIALES;NARIÑO;8;26;2500;2500;2500;2500;2500;2500;2500;2500;9793;30;19
SKJC;JUANCHACO;VALLE;17;35;1200;1200;1200;1200;1200;1200;1200;1200;46;20;26
SKJU;JURADO;CHOCO;13;31;800;800;800;800;800;800;800;800;13;20;27
SKGA;LA GAVIOTA;VICHADA;6;24;1180;1180;1180;1180;1180;1180;1180;1180;606;18;26
SKGL;LA GLORIA;CASANARE;4;22;540;540;540;540;540;540;540;540;540;18;26
SKNA;LA MACARENA;META;35;17;1581;1581;1581;1581;1581;1581;1581;1581;777;16;32
SKLM;LA MINA;GUAJIRA;10;28;2100;1700;1800;1700;1550;1550;1700;1700;385;44;31
SKLP;LA PEDRERA;AMAZONAS;34;16;995;995;995;995;1262;995;1262;995;254;15,8;31
SKIM;LA PRIMAVERA;VICHADA;3;21;1500;1500;1500;1500;1500;1500;1500;1500;656;20;28
SKLU;LA UNION;CASANARE;6;24;640;640;640;640;640;640;640;640;335;18;26
SKLR;LARANDIA;CAQUETA;35;17;1577;1577;1577;1577;1577;1577;1577;1577;825;30;33
SKRU;LAS CRUCES;SANTANDER;12;30;1202;1202;1202;1202;1202;1202;1202;1202;459;20;25
SKLT;LETICIA;AMAZONAS;3;21;2010;2010;2010;2100;2100;2100;2100;2100;270;40;31
SKLS;LOS TOROS;CASANARE;3;21;1100;1100;1100;1100;1100;1100;1100;1100;450;20;25
SKMA;MADRID;CUNDINAMARCA;7;25;1838;1838;1838;1838;1838;1838;1838;1838;8356;20;18
SKMG;MAGANGUE;BOLIVAR;11;29;1410;1410;1410;1410;1410;1410;1410;1410;178;20;28
SKMJ;MAICAO;GUAJIRA;7;25;1600;1600;1600;1600;1600;1600;1600;1600;345;30;31
SKLA;MALAGA;SANTANDER;15;33;1000;1000;1000;1000;1000;1000;1000;1000;6705;16;19
SKMZ;MANIZALES;CALDAS;10;28;N/A;1400;N/A;1400;N/A;1400;1400;N/A;6860;15;25
SKIR;MAPIRIPAN;META;16;34;1200;1200;1200;1200;1200;1200;1200;1200;670;20;29
SKUA;MARANDUA;VICHADA;7;25;2340;2340;2340;2340;2340;2340;2340;2340;337;42;36
SKQU;MARIQUITA;TOLIMA;1;19;1790;1790;1790;1790;1790;1790;1790;1790;1531;50;30
SKMD;MEDELLIN;ANTIOQUIA;2;20;2200;2100;2200;2100;2500;2500;1800;1800;4921;38;29
SKME;MELGAR;TOLIMA;23L;05R;1264;1264;1264;1264;1264;1264;1264;1264;1064;28;30
SKMF;MIRAFLORES;GUAVIARE;2;20;1320;1320;1320;1320;1320;1320;1320;1320;730;25;27
SKMU;MITU;VAUPES;2;20;1880;1880;1880;1880;1880;1880;1880;1880;680;45;32
SKMP;MOMPOS;BOLIVAR;2;20;1175;1175;1175;1175;1175;1175;1175;1175;63;14;29
SKML;MONTELIBANO;CORDOBA;18;36;1100;1100;1100;1100;1100;1100;1100;1100;160;26;32
SKMR;MONTERIA;CORDOBA;14;32;2298;2164;2298;2298;2298;2298;2164;2164;41;45;36
SKMO;MORELIA;META;18;36;1280;1280;1280;1280;1280;1280;1280;1280;600;24;28
SKNC;NECOCLI;ANTIOQUIA;16;34;833;833;833;833;833;833;833;833;60;15;27
SKNV;NEIVA;HUILA;2;20;1688;1688;1888;1748;1803;1748;1688;1688;1464;36;35
SKNQ;NUQUI;CHOCO;5;23;930;930;930;930;930;930;930;930;13;10;28
SKOC;OCAÑA;NORTE DE S.;1;19;1100;1100;1100;1100;1100;1100;1100;1100;3850;30;19
SKOR;ORITO;PUTUMAYO;16;34;754;754;754;754;754;754;754;754;1168;23;27
SKOE;OROCUE;CASANARE;4;22;1480;1480;1480;1480;1480;1480;1480;1480;550;25;26
