PISTA;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
0;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500
125;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16750;16650;16550;16450
250;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16800;16700;16600;16500;16400
375;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16800;16700;16600;16500;16400
500;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400
625;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16750;16650;16550;16450;16350
750;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300
875;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16750;16650;16550;16450;16350;16250
1000;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200
1125;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16750;16650;16550;16450;16350;16250;16150
1250;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200;16100
1375;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16750;16600;16500;16400;16300;16200;16100;16000
1500;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16500;16400;16300;16200;16100;16000;15900
1625;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16750;16600;16450;16350;16250;16150;16050;15950;16850
1750;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16850;16800;16700;16500;16400;16300;16200;16100;16000;15900;15800
1875;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16775;16700;16600;16450;16350;16250;16150;16500;15950;15850;15750
2000;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16850;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700
2125;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16800;16725;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;16700;15600
2250;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500
2375;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16750;16650;16550;16450;16350;16250;16150;16050;15950;15850;15750;15650;15550;15450
2500;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400
2625;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16750;16650;16550;16450;16350;16250;16150;16050;15950;15850;15750;15650;15550;15450;15350
2750;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300
2875;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16750;16650;16550;16450;16350;16250;16150;16050;15950;15850;15750;15650;15550;15450;15350;15250;15150
3000;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000
3125;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16750;16650;16550;16450;16350;16250;16150;16050;15950;15850;15750;15650;15550;15450;15350;15250;15150;15050;14950
